�..Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body,Cat,Score
2MHVV55V,journalArticle,2020,"Vaeokhaw, Sakawrat; Ngoprasert, Dusit; Swatdipong, Akarapong; Gale, George A.; Klinsawat, Worata; Vichitsoonthonkul, Taweerat",Effects of a highway on the genetic diversity of Asiatic black bears,Ursus,,1537-6176,10.2192/URSUS-D-18-00013.2,https://bioone.org/journals/ursus/volume-2020/issue-31e3/URSUS-D-18-00013.2/Effects-of-a-highway-on-the-genetic-diversity-of-Asiatic/10.2192/URSUS-D-18-00013.2.full,,3/26/2020,8/14/2020 18:25,8/14/2020 18:25,8/14/2020 18:25,1,NA,3.10E+04,2020,NA,Ursus,,NA,NA,NA,NA,,,,,NA,NA,NA,DOI.org (Crossref),,,<p>2 - assisted gene flow rec ts</p>,C:\Users\trase\Zotero\storage\HQ47WMTA\Vaeokhaw et al. - 2020 - Effects of a highway on the genetic diversity of A.pdf,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
WRBJTRR8,journalArticle,2014,"Hedrick, Philip W.; Peterson, Rolf O.; Vucetich, Leah M.; Adams, Jennifer R.; Vucetich, John A.",Genetic rescue in Isle Royale wolves: genetic analysis and the collapse of the population,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-014-0604-1,http://link.springer.com/10.1007/s10592-014-0604-1,,2014-10,8/19/2020 1:24,8/19/2020 1:25,8/19/2020 1:24,1111-1121,NA,5,15,NA,Conserv Genet,Genetic rescue in Isle Royale wolves,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,65,"<p>2- genetic rescue, microsatellite heterozygosity but no climate related genetic factors. -B. </p>",,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
S62HW2ZP,journalArticle,2019,"Quigley, Kate M.; Bay, Line K.; Oppen, Madeleine J. H.",The active spread of adaptive variation for reef resilience,Ecology and Evolution,NA,"2045-7758, 2045-7758",10.1002/ece3.5616,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.5616,,2019-10,8/14/2020 17:20,8/14/2020 17:20,8/14/2020 17:20,11122-11135,NA,19,9,NA,Ecol Evol,,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,"<p>2 modeling AM (AGF) to look at the spread of adaptive gene loci, not using genetics</p>",C:\Users\trase\Zotero\storage\4MSCRPLI\Quigley et al. - 2019 - The active spread of adaptive variation for reef r.pdf,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
ZDGBAP9M,journalArticle,2015,"Purcell, Kevin M.; Stockwell, Craig A.",An evaluation of the genetic structure and post-introduction dispersal of a non-native invasive fish to the North Island of New Zealand,Biological Invasions,NA,"1387-3547, 1573-1464",10.1007/s10530-014-0753-7,http://link.springer.com/10.1007/s10530-014-0753-7,,2015-02,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,625-636,NA,2,17,NA,Biol Invasions,,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,<p>2</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
IVENGWKF,journalArticle,2014,"van Oppen, M. J. H.; Puill-Stephan, E.; Lundgren, P.; De’ath, G.; Bay, L. K.",First-generation fitness consequences of interpopulational hybridisation in a Great Barrier Reef coral and its implications for assisted migration management,Coral Reefs,NA,"0722-4028, 1432-0975",10.1007/s00338-014-1145-2,http://link.springer.com/10.1007/s00338-014-1145-2,,2014-09,8/14/2020 17:22,8/14/2020 17:22,8/14/2020 17:22,607-611,NA,3,33,NA,Coral Reefs,,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,<p>2 used breeding experiments to look at AM in corals with differing adaptive traits</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
YWXFKJ28,journalArticle,2011,"Olden, Julian D.; Kennard, Mark J.; Lawler, Joshua J.; Poff, N. Leroy",Challenges and Opportunities in Implementing Managed Relocation for Conservation of Freshwater Species: Climate-Change Effects and Species Translocation,Conservation Biology,NA,8888892,10.1111/j.1523-1739.2010.01557.x,http://doi.wiley.com/10.1111/j.1523-1739.2010.01557.x,,2011-02,8/14/2020 17:43,8/14/2020 17:43,8/14/2020 17:43,40-47,NA,1,25,NA,,Challenges and Opportunities in Implementing Managed Relocation for Conservation of Freshwater Species,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,<p>2 ecological not genetic</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
F8NBGGIL,journalArticle,2019,"Filbee-Dexter, Karen; Smajdor, Anna",Ethics of Assisted Evolution in Marine Conservation,Frontiers in Marine Science,NA,2296-7745,10.3389/fmars.2019.00020,https://www.frontiersin.org/article/10.3389/fmars.2019.00020/full,,1/30/2019,8/14/2020 18:26,8/14/2020 18:26,8/14/2020 18:26,20,NA,,6,NA,Front. Mar. Sci.,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,"<p>2 Discussing AM from an ethical standpoint, but not applied or empirical</p>",C:\Users\trase\Zotero\storage\9WEMUVCA\Filbee-Dexter and Smajdor - 2019 - Ethics of Assisted Evolution in Marine Conservatio.pdf,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
HV2ZN5JN,journalArticle,2018,"Chan, Wing Yan; Peplow, Lesa M.; Menéndez, Patricia; Hoffmann, Ary A.; van Oppen, Madeleine J. H.",Interspecific Hybridization May Provide Novel Opportunities for Coral Reef Restoration,Frontiers in Marine Science,NA,2296-7745,10.3389/fmars.2018.00160,http://journal.frontiersin.org/article/10.3389/fmars.2018.00160/full,,5/14/2018,8/14/2020 18:26,8/18/2020 3:38,8/14/2020 18:26,160,NA,,5,NA,Front. Mar. Sci.,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,"<p>2 restoration, genetic rescue using hybridization</p>",C:\Users\trase\Zotero\storage\7WSFQTA9\Chan et al. - 2018 - Interspecific Hybridization May Provide Novel Oppo.pdf,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
TRSAD45T,journalArticle,2011,"Collyer, Michael L.; Heilveil, Jeffrey S.; Stockwell, Craig A.",Contemporary Evolutionary Divergence for a Protected Species following Assisted Colonization,PLoS ONE,NA,1932-6203,10.1371/journal.pone.0022310,https://dx.plos.org/10.1371/journal.pone.0022310,,8/31/2011,8/19/2020 1:21,8/19/2020 1:21,8/19/2020 1:21,e22310,NA,8,6,NA,PLoS ONE,,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,NA,"<p>2 Follow up to AM, using limited msats and morphometrics</p>",C:\Users\trase\Zotero\storage\4U7IFL53\Collyer et al. - 2011 - Contemporary Evolutionary Divergence for a Protect.pdf,NA,NA,NA,"Hofreiter, Michael",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic and Marine,2
DRBV5G6C,journalArticle,2020,"Versace, S.; Gianelle, D.; Garfì, V.; Battipaglia, G.; Lombardi, F.; Marchetti, M.; Tognetti, R.",Interannual radial growth sensitivity to climatic variations and extreme events in mixed-species and pure forest stands of silver fir and European beech in the Italian Peninsula,European Journal of Forest Research,,"1612-4669, 1612-4677",10.1007/s10342-020-01274-8,http://link.springer.com/10.1007/s10342-020-01274-8,,2020-08,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,627-645,NA,4,139,NA,Eur J Forest Res,,NA,NA,NA,NA,,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,,<p>2</p> <p>&nbsp;</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plants,2
C5YAMWQB,journalArticle,2011,"Sloop, Christina M.; Pickens, Carolina; Gordon, Sarah P.","Conservation genetics of Butte County meadowfoam (Limnanthes floccosa ssp. californica Arroyo), an endangered vernal pool endemic",Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-010-0142-4,http://link.springer.com/10.1007/s10592-010-0142-4,,2011-02,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,311-323,NA,1,12,NA,Conserv Genet,,NA,NA,NA,NA,,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,,<p>2</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plants,2
H54TM4AI,journalArticle,2014,"Halbur, Michelle M.; Sloop, Christina M.; Zanis, Michael J.; Emery, Nancy C.",The population biology of mitigation: impacts of habitat creation on an endangered plant species,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-014-0569-0,http://link.springer.com/10.1007/s10592-014-0569-0,,2014-06,8/14/2020 17:23,8/18/2020 3:38,8/14/2020 17:23,679-695,NA,3,15,NA,Conserv Genet,The population biology of mitigation,NA,NA,NA,NA,,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,,"<p>2 - probably 2, they don't address AM specifically in their discussion of their results, but mention ""like at the northern edge of L. vinculans’ range, can be monitored to evaluate if this artificially-enhanced gene flow has negative or positive impacts on the fitness of nearby remnant populations."" which i think counts</p>",,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plants,2
TM92AUQP,journalArticle,2018,"Duwe, Virginia K.; Muller, Ludo A. H.; Reichel, Katja; Zippel, Elke; Borsch, Thomas; Ismail, Sascha A.",Genetic structure and genetic diversity of the endangered grassland plant Crepis mollis (Jacq.) Asch. as a basis for conservation management in Germany,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-017-1025-8,http://link.springer.com/10.1007/s10592-017-1025-8,,2018-06,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,527-543,NA,3,19,NA,Conserv Genet,,NA,NA,NA,NA,,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,,<p>2</p> <p>&nbsp;</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plants,2
NWTFM7X5,journalArticle,2012,"Potter, Kevin M.; Hargrove, William W.",Determining suitable locations for seed transfer under climate change: a global quantitative method,New Forests,,"0169-4286, 1573-5095",10.1007/s11056-012-9322-z,http://link.springer.com/10.1007/s11056-012-9322-z,,2012-09,8/14/2020 17:24,8/14/2020 17:24,8/14/2020 17:24,581-599,NA,6-May,43,NA,New Forests,Determining suitable locations for seed transfer under climate change,NA,NA,NA,NA,,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,,<p>2</p> <p> </p>,/Users/Luke/Zotero/storage/VKAVSNQV/Potter and Hargrove - 2012 - Determining suitable locations for seed transfer u.pdf,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plants,2
IC3TIPA7,journalArticle,2017,"Downing, Jason L.; Liu, Hong; Shao, Shicheng; Wang, Xilong; McCormick, Melissa; Deng, Rongyan; Gao, Jiangyun",Contrasting changes in biotic interactions of orchid populations subject to conservation introduction vs. conventional translocation in tropical China,Biological Conservation,,63207,10.1016/j.biocon.2017.05.021,https://linkinghub.elsevier.com/retrieve/pii/S0006320716307480,,2017-08,8/14/2020 17:26,8/14/2020 17:26,8/14/2020 17:26,29-38,NA,,212,NA,Biological Conservation,,NA,NA,NA,NA,,NA,en,NA,NA,NA,NA,DOI.org (Crossref),NA,,<p>2</p> <p>&nbsp;</p>,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plants,2
