"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ATIB2ESS","journalArticle","2016","Evans, Luke M.; Kaluthota, Sobadini; Pearce, David W.; Allan, Gerard J.; Floate, Kevin; Rood, Stewart B.; Whitham, Thomas G.","Bud phenology and growth are subject to divergent selection across a latitudinal gradient in <i>Populus angustifolia</i> and impact adaptation across the distributional range and associated arthropods","Ecology and Evolution","","20457758","10.1002/ece3.2222","http://doi.wiley.com/10.1002/ece3.2222","","2016-07","2020-08-14 17:20:38","2020-08-14 17:20:38","2020-08-14 17:20:38","4565-4581","","13","6","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","C:\Users\trase\Zotero\storage\9W5QMLMP\Evans et al. - 2016 - Bud phenology and growth are subject to divergent .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQMTXJ9A","journalArticle","2016","Bucharova, Anna; Durka, Walter; Hermann, Julia-Maria; Hölzel, Norbert; Michalski, Stefan; Kollmann, Johannes; Bossdorf, Oliver","Plants adapted to warmer climate do not outperform regional plants during a natural heat wave","Ecology and Evolution","","20457758","10.1002/ece3.2183","http://doi.wiley.com/10.1002/ece3.2183","","2016-06","2020-08-14 17:20:36","2020-08-18 03:38:39","2020-08-14 17:20:36","4160-4165","","12","6","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","C:\Users\trase\Zotero\storage\33UFXXXV\Bucharova et al. - 2016 - Plants adapted to warmer climate do not outperform.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9E2XV74Q","journalArticle","2016","Greer, Burke T.; Still, Christopher; Howe, Glenn T.; Tague, Christina; Roberts, Dar A.","Populations of aspen ( <i>Populus tremuloides</i> Michx.) with different evolutionary histories differ in their climate occupancy","Ecology and Evolution","","20457758","10.1002/ece3.2102","http://doi.wiley.com/10.1002/ece3.2102","","2016-05","2020-08-14 17:20:34","2020-08-18 03:38:39","2020-08-14 17:20:34","3032-3039","","9","6","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","C:\Users\trase\Zotero\storage\USBFPY95\Greer et al. - 2016 - Populations of aspen ( Populus tremuloides .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSISAQBU","journalArticle","2014","Lu, Pengxin; Parker, William H.; Cherry, Marilyn; Colombo, Steve; Parker, William C.; Man, Rongzhou; Roubal, Ngaire","Survival and growth patterns of white spruce ( <i>Picea glauca</i> [Moench] Voss) rangewide provenances and their implications for climate change adaptation","Ecology and Evolution","","20457758","10.1002/ece3.1100","http://doi.wiley.com/10.1002/ece3.1100","","2014-06","2020-08-14 17:20:30","2020-08-14 17:20:30","2020-08-14 17:20:30","2360-2374","","12","4","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","C:\Users\trase\Zotero\storage\9IVRWASA\Lu et al. - 2014 - Survival and growth patterns of white spruce ( .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRBV5G6C","journalArticle","2020","Versace, S.; Gianelle, D.; Garfì, V.; Battipaglia, G.; Lombardi, F.; Marchetti, M.; Tognetti, R.","Interannual radial growth sensitivity to climatic variations and extreme events in mixed-species and pure forest stands of silver fir and European beech in the Italian Peninsula","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-020-01274-8","http://link.springer.com/10.1007/s10342-020-01274-8","","2020-08","2020-08-14 17:23:04","2020-08-14 17:23:04","2020-08-14 17:23:04","627-645","","4","139","","Eur J Forest Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"346JXBF3","journalArticle","2019","Martínez del Castillo, Edurne; Longares, Luis Alberto; Serrano-Notivoli, Roberto; Sass-Klaassen, Ute G. W.; de Luis, Martin","Spatial patterns of climate–growth relationships across species distribution as a forest management tool in Moncayo Natural Park (Spain)","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-019-01169-3","http://link.springer.com/10.1007/s10342-019-01169-3","","2019-04","2020-08-14 17:22:57","2020-08-14 17:22:57","2020-08-14 17:22:57","299-312","","2","138","","Eur J Forest Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","C:\Users\trase\Zotero\storage\XTDZVMTJ\Martínez del Castillo et al. - 2019 - Spatial patterns of climate–growth relationships a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGCSP356","journalArticle","2019","Kurjak, Daniel; Konôpková, Alena; Kmeť, Jaroslav; Macková, Miroslava; Frýdl, Josef; Živčák, Marek; Palmroth, Sari; Ditmarová, Ľubica; Gömöry, Dušan","Variation in the performance and thermostability of photosystem II in European beech (Fagus sylvatica L.) provenances is influenced more by acclimation than by adaptation","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-018-1155-7","http://link.springer.com/10.1007/s10342-018-1155-7","","2019-02","2020-08-14 17:22:56","2020-08-18 03:38:40","2020-08-14 17:22:56","79-92","","1","138","","Eur J Forest Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b?</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJQBXLFD","journalArticle","2018","Lebourgeois, François; Delpierre, Nicolas; Dufrêne, Eric; Cecchini, Sébastien; Macé, Sébastien; Croisé, Luc; Nicolas, Manuel","Assessing the roles of temperature, carbon inputs and airborne pollen as drivers of fructification in European temperate deciduous forests","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-018-1108-1","http://link.springer.com/10.1007/s10342-018-1108-1","","2018-06","2020-08-14 17:22:42","2020-08-18 03:38:40","2020-08-14 17:22:42","349-365","","3","137","","Eur J Forest Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","C:\Users\trase\Zotero\storage\FN4EA9RF\Lebourgeois et al. - 2018 - Assessing the roles of temperature, carbon inputs .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPCPQQ3R","journalArticle","2016","Chakraborty, Debojyoti; Wang, Tongli; Andre, Konrad; Konnert, Monika; Lexer, Manfred J.; Matulla, Christoph; Weißenbacher, Lambert; Schueler, Silvio","Adapting Douglas-fir forestry in Central Europe: evaluation, application, and uncertainty analysis of a genetically based model","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-016-0984-5","http://link.springer.com/10.1007/s10342-016-0984-5","","2016-10","2020-08-14 17:22:40","2020-08-18 03:38:39","2020-08-14 17:22:40","919-936","","5","135","","Eur J Forest Res","Adapting Douglas-fir forestry in Central Europe","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5</p> <p>&nbsp;</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSI5P2DJ","journalArticle","2015","Messinger, Jana; Güney, Aylin; Zimmermann, Reiner; Ganser, Barbara; Bachmann, Martin; Remmele, Sabine; Aas, Gregor","Cedrus libani: A promising tree species for Central European forestry facing climate change?","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-015-0905-z","http://link.springer.com/10.1007/s10342-015-0905-z","","2015-11","2020-08-14 17:22:39","2020-08-14 17:22:39","2020-08-14 17:22:39","1005-1017","","6","134","","Eur J Forest Res","Cedrus libani","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2E8V9F","journalArticle","2012","Kreyling, J.; Thiel, D.; Nagy, L.; Jentsch, A.; Huber, G.; Konnert, M.; Beierkuhnlein, C.","Late frost sensitivity of juvenile Fagus sylvatica L. differs between southern Germany and Bulgaria and depends on preceding air temperature","European Journal of Forest Research","","1612-4669, 1612-4677","10.1007/s10342-011-0544-y","http://link.springer.com/10.1007/s10342-011-0544-y","","2012-05","2020-08-14 17:22:37","2020-08-18 03:38:40","2020-08-14 17:22:37","717-725","","3","131","","Eur J Forest Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMGSSAJI","journalArticle","2016","Fady, Bruno; Cottrell, Joan; Ackzell, Lennart; Alía, Ricardo; Muys, Bart; Prada, Arantxa; González-Martínez, Santiago C.","Forests and global change: what can genetics contribute to the major forest management and policy challenges of the twenty-first century?","Regional Environmental Change","","1436-3798, 1436-378X","10.1007/s10113-015-0843-9","http://link.springer.com/10.1007/s10113-015-0843-9","","2016-04","2020-08-14 17:22:32","2020-08-14 17:22:32","2020-08-14 17:22:32","927-939","","4","16","","Reg Environ Change","Forests and global change","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AND6FMI7","journalArticle","2015","Pickles, Brian J.; Gorzelak, Monika A.; Green, D. Scott; Egger, Keith N.; Massicotte, Hugues B.","Host and habitat filtering in seedling root-associated fungal communities: taxonomic and functional diversity are altered in ‘novel’ soils","Mycorrhiza","","0940-6360, 1432-1890","10.1007/s00572-015-0630-y","http://link.springer.com/10.1007/s00572-015-0630-y","","2015-10","2020-08-14 17:22:24","2020-08-14 17:22:24","2020-08-14 17:22:24","517-531","","7","25","","Mycorrhiza","Host and habitat filtering in seedling root-associated fungal communities","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>? 1?</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMAQ2PZ7","journalArticle","2012","Richter, Sarah; Kipfer, Tabea; Wohlgemuth, Thomas; Calderón Guerrero, Carlos; Ghazoul, Jaboury; Moser, Barbara","Phenotypic plasticity facilitates resistance to climate change in a highly variable environment","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-011-2191-x","http://link.springer.com/10.1007/s00442-011-2191-x","","2012-05","2020-08-14 17:22:15","2020-08-14 17:22:15","2020-08-14 17:22:15","269-279","","1","169","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","C:\Users\trase\Zotero\storage\8DGK5VP9\Richter et al. - 2012 - Phenotypic plasticity facilitates resistance to cl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4LWR775","journalArticle","2010","Michalski, Stefan Georg; Durka, Walter; Jentsch, Anke; Kreyling, Juergen; Pompe, Sven; Schweiger, Oliver; Willner, Evelin; Beierkuhnlein, Carl","Evidence for genetic differentiation and divergent selection in an autotetraploid forage grass (Arrhenatherum elatius)","Theoretical and Applied Genetics","","0040-5752, 1432-2242","10.1007/s00122-009-1242-8","http://link.springer.com/10.1007/s00122-009-1242-8","","2010-04","2020-08-14 17:21:58","2020-08-14 17:21:58","2020-08-14 17:21:58","1151-1162","","6","120","","Theor Appl Genet","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JV8996CW","journalArticle","2015","Klenk, Nicole L.; Larson, Brendon M. H.; McDermott, Constance L.","Adapting forest certification to climate change: Adapting forest certification to climate change","Wiley Interdisciplinary Reviews: Climate Change","","17577780","10.1002/wcc.329","http://doi.wiley.com/10.1002/wcc.329","","2015-03","2020-08-14 17:21:53","2020-08-18 03:38:40","2020-08-14 17:21:53","189-201","","2","6","","WIREs Clim Change","Adapting forest certification to climate change","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5</p> <p>&nbsp;</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4E2GLWPP","journalArticle","2020","Young, Derek J. N.; Blush, Thomas D.; Landram, Michael; Wright, Jessica W.; Latimer, Andrew M.; Safford, Hugh D.","Assisted gene flow in the context of large‐scale forest management in California, <span style=""font-variant:small-caps;"">USA</span>","Ecosphere","","2150-8925, 2150-8925","10.1002/ecs2.3001","https://onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.3001","","2020-01","2020-08-14 17:21:41","2020-08-14 17:21:41","2020-08-14 17:21:41","","","1","11","","Ecosphere","Assisted gene flow in the context of large‐scale forest management in California, <span style=""font-variant","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>4b</p> <p> </p> <p> </p>","C:\Users\trase\Zotero\storage\XZQTP3PD\Young et al. - 2020 - Assisted gene flow in the context of large‐scale f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
