"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JSDUUNB9","journalArticle","2018","Völler, Eva; Boutaud, Estève; Assmann, Thorsten","The pace of range expansion: a long-term study on the flightless ground beetle Carabus hortensis (Coleoptera: Carabidae)","Journal of Insect Conservation","","1366-638X, 1572-9753","10.1007/s10841-017-0043-7","http://link.springer.com/10.1007/s10841-017-0043-7","","2018-02","2020-08-14 17:24:31","2020-08-14 17:24:31","2020-08-14 17:24:31","163-169","","1","22","","J Insect Conserv","The pace of range expansion","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - discuss another paper that used genetics and tie to their work, TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2QRUB7W","journalArticle","2004","Schaub, Michael; Pradel, Roger; Lebreton, Jean-Dominique","Is the reintroduced white stork (Ciconia ciconia) population in Switzerland self-sustainable?","Biological Conservation","","00063207","10.1016/j.biocon.2003.11.002","https://linkinghub.elsevier.com/retrieve/pii/S0006320703004312","","2004-09","2020-08-14 17:25:28","2020-08-14 17:25:28","2020-08-14 17:25:28","105-114","","1","119","","Biological Conservation","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIS9TZEX","journalArticle","2018","Robinson, Jacqueline A.; Brown, Caitlin; Kim, Bernard Y.; Lohmueller, Kirk E.; Wayne, Robert K.","Purging of Strongly Deleterious Mutations Explains Long-Term Persistence and Absence of Inbreeding Depression in Island Foxes","Current Biology","","09609822","10.1016/j.cub.2018.08.066","https://linkinghub.elsevier.com/retrieve/pii/S0960982218311941","","2018-11","2020-08-14 17:26:30","2020-08-14 17:26:30","2020-08-14 17:26:30","3487-3494.e4","","21","28","","Current Biology","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - take home from models is that AGW may be bad, had genomic data, not climate focused ts</p>","C:\Users\trase\Zotero\storage\BC8KS8CM\Robinson et al. - 2018 - Purging of Strongly Deleterious Mutations Explains.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4B2W4GGR","journalArticle","2020","Skikne, Sarah A.; Borker, Abraham L.; Terrill, Ryan S.; Zavaleta, Erika","Predictors of past avian translocation outcomes inform feasibility of future efforts under climate change","Biological Conservation","","00063207","10.1016/j.biocon.2020.108597","https://linkinghub.elsevier.com/retrieve/pii/S0006320719317707","","2020-07","2020-08-14 17:26:24","2020-08-14 17:26:24","2020-08-14 17:26:24","108597","","","247","","Biological Conservation","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - translocation study, but didn't do the genetics on their own... compared to existing phylogenetics for their models so may not be relevant. would like second opinion ts</p>","C:\Users\trase\Zotero\storage\BT5AC73Z\Skikne et al. - 2020 - Predictors of past avian translocation outcomes in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIP4ZWQN","journalArticle","2017","Rytteri, Susu; Kuussaari, Mikko; Saastamoinen, Marjo; Ovaskainen, Otso","Can we predict the expansion rate of a translocated butterfly population based on a priori estimated movement rates?","Biological Conservation","","00063207","10.1016/j.biocon.2017.09.018","https://linkinghub.elsevier.com/retrieve/pii/S0006320717310698","","2017-11","2020-08-14 17:26:21","2020-08-14 17:26:21","2020-08-14 17:26:21","189-195","","","215","","Biological Conservation","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - no genetics, ts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YR62XJ93","journalArticle","2016","Payne, Benjamin Luke; Bro-Jørgensen, Jakob","A framework for prioritizing conservation translocations to mimic natural ecological processes under climate change: A case study with African antelopes","Biological Conservation","","00063207","10.1016/j.biocon.2016.07.018","https://linkinghub.elsevier.com/retrieve/pii/S0006320716302828","","2016-09","2020-08-14 17:26:12","2020-08-14 17:26:12","2020-08-14 17:26:12","230-236","","","201","","Biological Conservation","A framework for prioritizing conservation translocations to mimic natural ecological processes under climate change","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - no genetics TS</p>","C:\Users\trase\Zotero\storage\F7MZHEGZ\Payne and Bro-Jørgensen - 2016 - A framework for prioritizing conservation transloc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJQZHA2Y","journalArticle","2015","Kuussaari, Mikko; Heikkinen, Risto K.; Heliölä, Janne; Luoto, Miska; Mayer, Marianne; Rytteri, Susu; von Bagh, Peter","Successful translocation of the threatened Clouded Apollo butterfly (Parnassius mnemosyne) and metapopulation establishment in southern Finland","Biological Conservation","","00063207","10.1016/j.biocon.2015.05.011","https://linkinghub.elsevier.com/retrieve/pii/S0006320715002062","","2015-10","2020-08-14 17:26:03","2020-08-18 03:38:40","2020-08-14 17:26:03","51-59","","","190","","Biological Conservation","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 Did AM and picked 4 source pops to maximize genetic diversity but didn't measure diversity before or after</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UDZX7BQ","journalArticle","2012","Sáenz-Romero, Cuauhtémoc; Rehfeldt, Gerald E.; Duval, Pierre; Lindig-Cisneros, Roberto A.","Abies religiosa habitat prediction in climatic change scenarios and implications for monarch butterfly conservation in Mexico","Forest Ecology and Management","","03781127","10.1016/j.foreco.2012.03.004","https://linkinghub.elsevier.com/retrieve/pii/S0378112712001284","","2012-07","2020-08-14 17:27:02","2020-08-14 17:27:02","2020-08-14 17:27:02","98-106","","","275","","Forest Ecology and Management","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - no genetics ts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69WCBKPH","journalArticle","2000","Martin, Robert D.","Origins, Diversity and Relationships of Lemurs","International Journal of Primatology","","01640291","10.1023/A:1005563113546","http://link.springer.com/10.1023/A:1005563113546","","2000","2020-08-14 17:29:23","2020-08-14 22:32:40","2020-08-14 17:29:23","1021-1049","","6","21","","","","","","","","","","","","","","","DOI.org (Crossref)","","","<p>1 phylogenetic paper</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3K8VRKMV","journalArticle","2017","Ferrarini, Alessandro; Alatalo, Juha M.; Gustin, Marco","Climate change will seriously impact bird species dwelling above the treeline: A prospective study for the Italian Alps","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2017.03.027","https://linkinghub.elsevier.com/retrieve/pii/S0048969717305338","","2017-07","2020-08-14 17:28:31","2020-08-14 17:28:31","2020-08-14 17:28:31","686-694","","","590-591","","Science of The Total Environment","Climate change will seriously impact bird species dwelling above the treeline","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 no genetics</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FX4BRJSA","journalArticle","2018","Sirois-Delisle, Catherine; Kerr, Jeremy T.","Climate change-driven range losses among bumblebee species are poised to accelerate","Scientific Reports","","2045-2322","10.1038/s41598-018-32665-y","http://www.nature.com/articles/s41598-018-32665-y","","2018-12","2020-08-14 17:30:27","2020-08-14 17:30:27","2020-08-14 17:30:27","14464","","1","8","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - no genetics ts</p>","C:\Users\trase\Zotero\storage\3YDSF3X9\Sirois-Delisle and Kerr - 2018 - Climate change-driven range losses among bumblebee.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEFPYH22","journalArticle","2019","Saremi, Nedda F.; Supple, Megan A.; Byrne, Ashley; Cahill, James A.; Coutinho, Luiz Lehmann; Dalén, Love; Figueiró, Henrique V.; Johnson, Warren E.; Milne, Heather J.; O’Brien, Stephen J.; O’Connell, Brendan; Onorato, David P.; Riley, Seth P. D.; Sikich, Jeff A.; Stahler, Daniel R.; Villela, Priscilla Marqui Schmidt; Vollmers, Christopher; Wayne, Robert K.; Eizirik, Eduardo; Corbett-Detig, Russell B.; Green, Richard E.; Wilmers, Christopher C.; Shapiro, Beth","Puma genomes from North and South America provide insights into the genomic consequences of inbreeding","Nature Communications","","2041-1723","10.1038/s41467-019-12741-1","http://www.nature.com/articles/s41467-019-12741-1","","2019-12","2020-08-14 17:30:21","2020-08-14 17:30:21","2020-08-14 17:30:21","4769","","1","10","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - AM not done, but authors created models to predict translocation... take home is that multiple AM events likely needed TS</p>","C:\Users\trase\Zotero\storage\VKJP9BGV\Saremi et al. - 2019 - Puma genomes from North and South America provide .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTWZVYR8","journalArticle","2000","Sherwin, William B.; Timms, Peter; Wilcken, Jonathan; Houlden, Bronwyn","Analysis and Conservation Implications of Koala Genetics","Conservation Biology","","08888892","10.1046/j.1523-1739.2000.99384.x","http://doi.wiley.com/10.1046/j.1523-1739.2000.99384.x","","2000-06","2020-08-14 17:30:37","2020-08-14 17:30:37","2020-08-14 17:30:37","639-649","","3","14","","Conservation Biology","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 -  species specific review paper which discusses translocation recs ts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ETYPPRJ","journalArticle","2019","Short, Jeff; Copley, Peter; Ruykys, Laura; Morris, Keith; Read, John; Moseby, Katherine","Review of translocations of the greater stick-nest rat (Leporillus conditor): lessons learnt to facilitate ongoing recovery","Wildlife Research","","1035-3712","10.1071/WR19021","http://www.publish.csiro.au/?paper=WR19021","Abstract Greater stick-nest rats were widely distributed across southern Australia in pre-European times, but only survived as a single population on the Franklin Islands in South Australia. Conservation efforts since 1983 have included survey of the remaining population, establishment of a captive colony and subsequent translocations to both island and mainland sites. Translocations have met with mixed success, with four of 10 (three islands and one mainland site) successful and extant for 19–28 years, five unsuccessful (one island and four mainland sites) and one as yet indeterminate. Overall, the increase in number of populations, area of occupancy and extent of occurrence has been positive, and has resulted in a down-listing of conservation status. There are numerous plausible explanations for the lack of success at some sites, but few data to differentiate among them. These plausible explanations include: the release of stick-nest rats to habitats of poor quality; high levels of predation (perhaps hyperpredation) by native predators (chiefly monitors and predatory birds) in combination, at some sites, with predation by feral cats or foxes; and ineffective release protocols. Most extant populations have undergone substantial fluctuations over time, and some show apparent long-term declines in abundance, likely increasing their probability of local extinction over time. There is a need for regular ongoing monitoring – of stick-nest rats themselves, their habitat and their suite of potential predators – to aid interpretation of outcomes. A more experimental approach to future releases is required to adjudicate among competing explanations for such declines.","2019","2020-08-14 17:30:54","2020-08-14 17:30:54","2020-08-14 17:30:54","455","","6","46","","Wildl. Res.","Review of translocations of the greater stick-nest rat (Leporillus conditor)","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 -  species specific review paper which discusses translocation recs ts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKNNDQSQ","journalArticle","2017","Kasperbauer, T. J.","Should We Bring Back the Passenger Pigeon? The Ethics of De-Extinction","Ethics, Policy & Environment","","2155-0085, 2155-0093","10.1080/21550085.2017.1291831","https://www.tandfonline.com/doi/full/10.1080/21550085.2017.1291831","","2017-01-02","2020-08-14 17:34:52","2020-08-18 03:38:40","2020-08-14 17:34:52","1-14","","1","20","","Ethics, Policy & Environment","Should We Bring Back the Passenger Pigeon?","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 de-extinction paper</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QW9IRL3N","journalArticle","2020","Mueller, Emmi A.; Wisnoski, Nathan I.; Peralta, Ariane L.; Lennon, Jay T.","Microbial rescue effects: How microbiomes can save hosts from extinction","Functional Ecology","","0269-8463, 1365-2435","10.1111/1365-2435.13493","https://onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13493","","2020-01-21","2020-08-14 17:38:19","2020-08-14 17:38:19","2020-08-14 17:38:19","1365-2435.13493","","","","","Funct Ecol","Microbial rescue effects","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - not relevant ts</p>","C:\Users\trase\Zotero\storage\C84IN8XL\Mueller et al. - 2020 - Microbial rescue effects How microbiomes can save.pdf","","","","Bennett, Alison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DGFK64H","journalArticle","2016","Phillips, Ben L.; Muñoz, Martha M.; Hatcher, Amberlee; Macdonald, Stewart L.; Llewelyn, John; Lucy, Vanessa; Moritz, Craig","Heat hardening in a tropical lizard: geographic variation explained by the predictability and variance in environmental temperatures","Functional Ecology","","0269-8463, 1365-2435","10.1111/1365-2435.12609","https://onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12609","","2016-07","2020-08-14 17:38:09","2020-08-14 17:38:09","2020-08-14 17:38:09","1161-1168","","7","30","","Funct Ecol","Heat hardening in a tropical lizard","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - ts</p>","","","","","Grémillet, David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FU2LJ5F","journalArticle","2013","Magige, Flora J.","Rodent species diversity in relation to altitudinal gradient in Northern Serengeti, Tanzania","African Journal of Ecology","","01416707","10.1111/aje.12075","http://doi.wiley.com/10.1111/aje.12075","","2013-12","2020-08-14 17:39:14","2020-08-14 17:39:14","2020-08-14 17:39:14","618-624","","4","51","","Afr. J. Ecol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 no genetics</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCJCT4LD","journalArticle","2020","McLennan, E. A.; Grueber, C. E.; Wise, P.; Belov, K.; Hogg, C. J.","Mixing genetically differentiated populations successfully boosts diversity of an endangered carnivore","Animal Conservation","","1367-9430, 1469-1795","10.1111/acv.12589","https://onlinelibrary.wiley.com/doi/abs/10.1111/acv.12589","","2020-04-17","2020-08-14 17:39:06","2020-08-14 17:39:06","2020-08-14 17:39:06","acv.12589","","","","","Anim Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - ts</p>","C:\Users\trase\Zotero\storage\799FBPZ3\McLennan et al. - 2020 - Mixing genetically differentiated populations succ.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38FQIAMZ","journalArticle","2017","Griffiths, R. A.","Which amphibians should qualify for the ark?","Animal Conservation","","13679430","10.1111/acv.12348","http://doi.wiley.com/10.1111/acv.12348","","2017-04","2020-08-14 17:39:03","2020-08-18 03:38:40","2020-08-14 17:39:03","120-121","","2","20","","Anim Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1- perspective article on selecting species for conservation. -B.&nbsp;</p>","C:\Users\trase\Zotero\storage\6SVYPL4I\Griffiths - 2017 - Which amphibians should qualify for the ark.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBWX65BI","journalArticle","2012","Fordham, Damien A.; Watts, Michael J.; Delean, Steven; Brook, Brook W.; Heard, Lee M.B.; Bull, C.M.","Managed relocation as an adaptation strategy for mitigating climate change threats to the persistence of an endangered lizard","Global Change Biology","","13541013","10.1111/j.1365-2486.2012.02742.x","http://doi.wiley.com/10.1111/j.1365-2486.2012.02742.x","","2012-09","2020-08-14 17:43:11","2020-08-14 17:43:11","2020-08-14 17:43:11","2743-2755","","9","18","","Glob Change Biol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 considering AM and would benefit from genetic data but this paper did not give any</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LY2NEQ9W","journalArticle","2012","Arribas, Paula; Abellán, Pedro; Velasco, Josefa; Bilton, David T.; Millán, Andrés; Sánchez-Fernández, David","Evaluating drivers of vulnerability to climate change: a guide for insect conservation strategies","Global Change Biology","","13541013","10.1111/j.1365-2486.2012.02691.x","http://doi.wiley.com/10.1111/j.1365-2486.2012.02691.x","","2012-07","2020-08-14 17:43:04","2020-08-14 17:43:04","2020-08-14 17:43:04","2135-2146","","7","18","","Glob Change Biol","Evaluating drivers of vulnerability to climate change","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 not relevant</p>","C:\Users\trase\Zotero\storage\2I4I9TQ4\Arribas et al. - 2012 - Evaluating drivers of vulnerability to climate cha.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LM85CPV4","journalArticle","2012","Andersen, Liselotte Wesley; Kahlert, Johnny","Genetic indications of translocated and stocked grey partridges (Perdix perdix): does the indigenous Danish grey partridge still exist?: EXISTENCE OF INDIGENOUS DANISH GREY PARTRIDGE?","Biological Journal of the Linnean Society","","00244066","10.1111/j.1095-8312.2011.01833.x","https://academic.oup.com/biolinnean/article-lookup/doi/10.1111/j.1095-8312.2011.01833.x","","2012-03","2020-08-14 17:42:57","2020-08-14 17:42:57","2020-08-14 17:42:57","694-710","","3","105","","","Genetic indications of translocated and stocked grey partridges (Perdix perdix)","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 not relevant</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2P58AVPD","journalArticle","2017","Parrott, M. L.; Coetsee, A. L.; Hartnett, C. M.; Magrath, M. J. L.","New hope for the Eastern barred bandicoot <i>Perameles gunnii</i> after 27 years of recovery effort","International Zoo Yearbook","","00749664","10.1111/izy.12157","http://doi.wiley.com/10.1111/izy.12157","","2017-01","2020-08-14 17:42:56","2020-08-14 17:42:56","2020-08-14 17:42:56","154-164","","1","51","","Int. Zoo Yb.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - species specific review paper ts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
